Timestamp,CPU_User_Pct,CPU_System_Pct,CPU_Idle_Pct,Memory_Used_MB,Memory_Free_MB
2025-12-19 09:05:29,46.12,34.40,19.47,7455,3342
2025-12-19 09:05:35,37.32,20.24,42.42,7459,3225
2025-12-19 09:05:41,46.37,26.19,27.42,7544,3313
2025-12-19 09:05:47,46.43,33.73,19.83,7529,3225
2025-12-19 09:05:53,43.45,22.68,33.85,7546,3475
2025-12-19 09:05:59,39.93,25.22,34.83,7568,3291
2025-12-19 09:06:05,31.43,22.7,46.49,7564,3290
2025-12-19 09:06:11,39.62,24.20,36.16,7553,3390
2025-12-19 09:06:17,27.97,24.82,47.20,7557,3353
2025-12-19 09:06:23,48.11,40.58,11.29,7463,3226
2025-12-19 09:06:29,27.83,25.8,47.7,7286,3215
2025-12-19 09:06:35,7.38,20.91,71.70,7510,3319
2025-12-19 09:06:41,23.91,29.98,46.9,7479,3323
2025-12-19 09:06:47,10.33,24.77,64.88,7490,3511
2025-12-19 09:06:52,10.17,29.12,60.70,7474,3481
2025-12-19 09:06:58,23.31,30.39,46.28,7457,3517
2025-12-19 09:07:04,8.27,16.37,75.34,7494,3443
2025-12-19 09:07:10,4.59,14.31,81.9,7533,3374
2025-12-19 09:07:16,4.54,14.86,80.59,7550,3241
2025-12-19 09:07:21,4.71,15.35,79.93,7555,3270
2025-12-19 09:07:27,4.73,15.26,80.0,7535,3262
2025-12-19 09:07:33,4.3,13.50,82.45,7539,3518
2025-12-19 09:07:39,2.68,12.54,84.76,7554,3559
2025-12-19 09:07:45,3.71,14.31,81.97,7563,3518
2025-12-19 09:07:50,3.1,12.25,84.72,7564,3536
2025-12-19 09:07:56,3.21,12.85,83.92,7555,3519
2025-12-19 09:08:02,3.74,15.68,80.57,7469,3573
2025-12-19 09:08:08,2.86,12.18,84.94,7544,3463
2025-12-19 09:08:14,2.51,11.69,85.79,7530,3400
2025-12-19 09:08:19,2.86,11.64,85.48,7568,3369
2025-12-19 09:08:25,2.86,13.26,83.87,7556,3418
2025-12-19 09:08:31,3.0,13.27,83.71,7557,3424
2025-12-19 09:08:37,3.5,12.5,84.89,7574,3422
2025-12-19 09:08:42,2.16,11.35,86.48,7541,3451
2025-12-19 09:08:48,7.22,22.3,70.74,7553,3542
2025-12-19 09:08:54,10.79,20.43,68.77,7465,3477
2025-12-19 09:09:00,7.1,17.71,75.26,7534,3479
2025-12-19 09:09:06,3.76,12.36,83.87,7556,3352
2025-12-19 09:09:12,8.8,23.40,68.51,7466,3068
2025-12-19 09:09:18,5.9,17.22,77.68,7523,2720
2025-12-19 09:09:23,5.6,13.38,81.55,7562,2966
2025-12-19 09:09:29,3.7,12.65,84.26,7530,3012
2025-12-19 09:09:35,3.7,12.31,84.60,7550,2966
2025-12-19 09:09:41,2.75,12.68,84.55,7552,3065
2025-12-19 09:09:47,2.55,11.29,86.15,7566,3004
2025-12-19 09:09:52,3.7,12.29,84.62,7566,3045
2025-12-19 09:09:58,3.23,13.46,83.30,7559,3092
2025-12-19 09:10:04,7.77,22.46,69.76,7517,3410
2025-12-19 09:10:10,3.10,13.52,83.36,7532,3337
2025-12-19 09:10:16,4.28,15.17,80.53,7575,3286
2025-12-19 09:10:21,3.41,13.30,83.27,7566,3278
2025-12-19 09:10:27,3.75,16.60,79.64,7537,3364
2025-12-19 09:10:33,3.44,14.13,82.42,7570,3336
2025-12-19 09:10:39,4.29,17.71,77.99,7566,3400
2025-12-19 09:10:44,3.93,16.63,79.42,7560,3427
2025-12-19 09:10:50,3.58,15.5,81.36,7565,3452
2025-12-19 09:10:56,8.2,20.6,71.90,7552,3443
2025-12-19 09:11:02,5.68,18.29,76.2,7557,2981
2025-12-19 09:11:08,5.87,18.14,75.97,7557,3118
