Timestamp,CPU_User_Pct,CPU_System_Pct,CPU_Idle_Pct,Memory_Used_MB,Memory_Free_MB
2025-12-19 08:26:01,59.4,38.7,2.88,7394,2839
2025-12-19 08:26:08,49.13,34.22,16.63,7321,3050
2025-12-19 08:26:15,53.43,37.17,9.38,7565,3055
2025-12-19 08:26:21,59.22,32.71,8.6,7282,2953
2025-12-19 08:26:28,47.6,31.22,21.71,7097,2962
2025-12-19 08:26:35,62.10,30.59,7.30,7253,3029
2025-12-19 08:26:41,56.0,31.89,12.10,7306,2959
2025-12-19 08:26:47,49.42,35.20,15.36,7248,3142
2025-12-19 08:26:54,49.30,26.10,24.59,7503,3367
2025-12-19 08:27:00,37.39,24.9,38.50,7454,3363
2025-12-19 08:27:06,32.85,17.78,49.35,7134,2945
2025-12-19 08:27:12,7.0,14.58,78.40,7199,2771
2025-12-19 08:27:17,4.80,12.11,83.7,7262,2733
2025-12-19 08:27:23,5.41,17.91,76.67,7295,2572
2025-12-19 08:27:29,7.92,17.54,74.52,7538,2396
2025-12-19 08:27:35,7.97,22.82,69.20,7504,3164
2025-12-19 08:27:41,5.58,15.60,78.80,7490,3552
2025-12-19 08:27:46,8.39,25.37,66.23,7512,3583
2025-12-19 08:27:52,31.5,39.27,29.66,7504,3489
2025-12-19 08:27:58,6.60,16.79,76.60,7519,3551
2025-12-19 08:28:04,5.9,15.66,79.24,7558,3504
2025-12-19 08:28:10,5.38,24.30,70.31,7543,3359
2025-12-19 08:28:15,4.22,15.35,80.42,7548,3419
2025-12-19 08:28:21,17.62,35.71,46.65,7467,3520
2025-12-19 08:28:27,27.28,44.61,28.10,7475,3230
2025-12-19 08:28:33,3.26,14.23,82.50,7478,2968
2025-12-19 08:28:39,3.59,15.87,80.52,7539,2964
2025-12-19 08:28:45,14.80,11.53,73.66,7503,3013
2025-12-19 08:28:51,6.66,15.23,78.9,7556,2998
2025-12-19 08:28:56,5.95,13.5,80.99,7557,3024
2025-12-19 08:29:02,3.63,12.81,83.55,7561,3035
2025-12-19 08:29:08,3.28,12.76,83.94,7569,2991
2025-12-19 08:29:14,3.7,11.51,85.41,7542,2981
2025-12-19 08:29:19,3.62,13.74,82.63,7562,3094
2025-12-19 08:29:25,6.46,18.25,75.28,7560,3120
2025-12-19 08:29:31,5.74,13.79,80.45,7560,3058
2025-12-19 08:29:37,4.78,13.79,81.41,7566,3075
2025-12-19 08:29:42,21.79,19.23,58.97,7556,3121
2025-12-19 08:29:48,9.31,20.48,70.20,7493,3331
2025-12-19 08:29:54,21.85,20.99,57.14,7469,3476
2025-12-19 08:30:00,4.22,12.66,83.10,7542,3360
2025-12-19 08:30:05,3.46,11.53,85.0,7522,3328
2025-12-19 08:30:11,15.15,13.38,71.45,7537,3300
2025-12-19 08:30:17,15.53,19.12,65.34,7552,3290
2025-12-19 08:30:23,2.87,11.87,85.24,7555,3282
2025-12-19 08:30:28,19.0,16.23,64.76,7487,3406
2025-12-19 08:30:34,28.71,18.51,52.76,7431,3307
2025-12-19 08:30:40,19.49,15.88,64.62,7512,3108
2025-12-19 08:30:46,11.52,17.10,71.37,7474,2899
2025-12-19 08:30:52,11.31,13.72,74.95,7483,2874
2025-12-19 08:30:57,8.78,14.20,77.0,7554,2780
2025-12-19 08:31:03,8.20,16.4,75.74,7506,2967
2025-12-19 08:31:09,5.75,14.97,79.27,7560,3113
2025-12-19 08:31:15,6.62,15.90,77.46,7562,3153
