Timestamp,CPU_User_Pct,CPU_System_Pct,CPU_Idle_Pct,Memory_Used_MB,Memory_Free_MB
2025-12-19 09:04:44,7.10,16.82,76.7,7533,3274
2025-12-19 09:04:50,15.53,21.52,62.94,7529,3404
2025-12-19 09:04:56,4.89,15.76,79.34,7545,3396
2025-12-19 09:05:02,4.59,13.60,81.80,7464,3483
2025-12-19 09:05:07,6.53,18.14,75.31,7526,3409
2025-12-19 09:05:13,3.88,12.38,83.73,7568,3438
2025-12-19 09:05:19,2.92,14.44,82.63,7553,3434
2025-12-19 09:05:25,5.0,15.76,79.22,7555,3481
2025-12-19 09:05:30,29.0,20.90,50.9,7476,3292
2025-12-19 09:05:36,51.37,25.8,23.53,7480,3291
2025-12-19 09:05:42,45.55,37.9,17.34,7563,3279
2025-12-19 09:05:48,30.59,24.27,45.12,7539,3245
2025-12-19 09:05:54,53.53,28.57,17.89,7532,3501
2025-12-19 09:06:00,38.23,25.70,36.6,7544,3361
2025-12-19 09:06:06,21.98,22.33,55.67,7541,3331
2025-12-19 09:06:11,38.97,26.32,34.70,7549,3413
2025-12-19 09:06:17,22.99,21.60,55.40,7550,3328
2025-12-19 09:06:23,43.39,44.58,12.1,7423,2967
2025-12-19 09:06:29,19.79,29.83,50.36,7453,2971
2025-12-19 09:06:35,14.75,32.13,53.11,7533,3224
2025-12-19 09:06:41,23.70,42.24,34.4,7544,3352
2025-12-19 09:06:47,18.4,35.76,46.19,7473,3436
2025-12-19 09:06:53,20.34,29.65,50.0,7521,3397
2025-12-19 09:06:59,14.48,43.14,42.37,7478,3501
2025-12-19 09:07:05,13.33,25.42,61.24,7510,3387
2025-12-19 09:07:11,16.8,22.37,61.53,7524,3316
2025-12-19 09:07:17,12.23,19.68,68.8,7547,3216
2025-12-19 09:07:22,6.8,19.13,74.78,7545,3244
2025-12-19 09:07:28,6.92,20.24,72.83,7533,3294
2025-12-19 09:07:34,6.79,22.7,71.13,7538,3541
2025-12-19 09:07:40,9.83,21.1,69.15,7551,3538
2025-12-19 09:07:46,6.95,15.82,77.21,7568,3507
2025-12-19 09:07:51,6.36,15.1,78.62,7572,3518
2025-12-19 09:07:57,5.31,13.47,81.20,7566,3508
2025-12-19 09:08:03,5.28,16.19,78.52,7466,3538
2025-12-19 09:08:09,6.45,15.70,77.83,7565,3459
2025-12-19 09:08:15,4.86,12.61,82.52,7550,3388
2025-12-19 09:08:20,5.62,13.53,80.84,7568,3353
2025-12-19 09:08:26,5.34,15.68,78.96,7548,3414
2025-12-19 09:08:32,4.76,12.87,82.36,7573,3418
2025-12-19 09:08:38,7.42,17.66,74.91,7561,3415
2025-12-19 09:08:43,5.82,15.52,78.65,7542,3456
2025-12-19 09:08:49,16.33,24.66,59.0,7564,3484
2025-12-19 09:08:55,19.61,29.8,51.30,7469,3489
2025-12-19 09:09:01,13.13,21.1,65.84,7552,3355
2025-12-19 09:09:07,6.64,18.8,75.27,7529,3333
2025-12-19 09:09:13,9.29,24.26,66.43,7473,2949
2025-12-19 09:09:18,13.10,21.52,65.37,7532,2725
2025-12-19 09:09:24,9.22,15.37,75.40,7560,2976
2025-12-19 09:09:30,5.57,18.34,76.7,7546,2932
2025-12-19 09:09:36,8.43,15.79,75.76,7563,2927
2025-12-19 09:09:42,6.4,15.93,78.2,7560,3038
2025-12-19 09:09:47,4.84,12.47,82.68,7567,3010
2025-12-19 09:09:53,6.12,13.17,80.70,7562,3050
2025-12-19 09:09:59,6.29,16.11,77.59,7546,3112
2025-12-19 09:10:05,8.88,19.36,71.75,7503,3363
2025-12-19 09:10:10,6.82,17.52,75.64,7568,3303
2025-12-19 09:10:16,8.24,17.21,74.54,7568,3277
2025-12-19 09:10:22,8.92,19.70,71.37,7555,3298
2025-12-19 09:10:28,6.61,18.93,74.44,7553,3360
2025-12-19 09:10:33,7.7,18.69,74.22,7568,3341
2025-12-19 09:10:39,6.14,20.25,73.59,7560,3367
2025-12-19 09:10:45,6.48,20.0,73.51,7567,3395
2025-12-19 09:10:51,5.86,18.68,75.45,7571,3455
2025-12-19 09:10:56,5.83,21.35,72.81,7562,3403
2025-12-19 09:11:02,11.19,25.9,63.71,7551,2978
2025-12-19 09:11:08,13.24,25.82,60.92,7566,2940
2025-12-19 09:11:14,9.10,19.48,71.40,7575,2941
2025-12-19 09:11:20,7.45,23.9,69.45,7569,3227
2025-12-19 09:11:25,7.19,18.45,74.35,7559,3282
2025-12-19 09:11:31,7.41,21.88,70.70,7544,3313
2025-12-19 09:11:37,8.10,25.51,66.37,7557,3297
2025-12-19 09:11:43,8.36,24.90,66.72,7554,3309
2025-12-19 09:11:48,6.87,21.15,71.97,7565,3465
2025-12-19 09:11:54,7.1,22.84,70.14,7564,3488
2025-12-19 09:12:00,9.38,29.86,60.75,7564,3467
2025-12-19 09:12:06,7.21,25.0,67.78,7557,3438
2025-12-19 09:12:12,8.90,29.14,61.95,7523,3490
2025-12-19 09:12:17,7.51,25.22,67.26,7566,3461
2025-12-19 09:12:23,24.2,39.50,36.47,7529,3522
2025-12-19 09:12:29,15.40,39.62,44.96,7469,3407
