Timestamp,CPU_User_Pct,CPU_System_Pct,CPU_Idle_Pct,Memory_Used_MB,Memory_Free_MB
2025-12-19 08:40:52,10.78,18.64,70.56,7540,2932
2025-12-19 08:40:58,46.80,35.21,17.98,7420,3182
2025-12-19 08:41:04,65.76,33.63,0.60,7202,2925
2025-12-19 08:41:10,48.31,34.4,17.63,6861,3115
2025-12-19 08:41:17,36.73,37.26,25.99,7020,3081
2025-12-19 08:41:23,57.68,20.72,21.58,6962,2977
2025-12-19 08:41:29,43.12,46.43,10.43,7300,3116
2025-12-19 08:41:35,44.59,26.13,29.27,7255,3021
2025-12-19 08:41:41,35.84,35.97,28.18,7536,2981
2025-12-19 08:41:47,40.65,46.31,13.3,7509,3180
2025-12-19 08:41:53,48.8,36.47,15.44,7427,2973
2025-12-19 08:41:59,49.64,38.50,11.84,7354,3077
2025-12-19 08:42:05,54.12,26.66,19.20,7364,2854
2025-12-19 08:42:11,47.75,25.86,26.37,7358,3028
2025-12-19 08:42:17,51.33,36.47,12.19,7458,2907
2025-12-19 08:42:23,58.78,27.91,13.29,7414,3039
2025-12-19 08:42:29,47.87,31.79,20.33,7340,3024
2025-12-19 08:42:35,58.75,31.43,9.81,7402,3047
2025-12-19 08:42:42,48.18,40.60,11.21,7223,3182
2025-12-19 08:42:48,46.45,39.27,14.27,7340,3293
2025-12-19 08:42:55,34.70,21.39,43.89,7430,2778
2025-12-19 08:43:01,7.67,16.31,76.0,7523,2260
2025-12-19 08:43:07,6.28,17.33,76.38,7480,3004
2025-12-19 08:43:12,13.53,37.84,48.61,7467,3242
2025-12-19 08:43:18,31.2,49.86,19.10,7466,3388
2025-12-19 08:43:25,7.98,22.68,69.32,7475,3329
2025-12-19 08:43:31,16.66,26.95,56.38,7459,3334
2025-12-19 08:43:37,15.84,25.84,58.30,7516,3369
2025-12-19 08:43:42,9.58,28.27,62.14,7491,3173
2025-12-19 08:43:48,9.71,15.46,74.82,7521,2897
2025-12-19 08:43:54,32.29,53.56,14.13,7471,3243
2025-12-19 08:44:02,7.2,19.63,73.33,7493,3509
2025-12-19 08:44:07,6.52,20.45,73.1,7485,3512
2025-12-19 08:44:13,6.49,14.7,79.42,7549,3408
2025-12-19 08:44:19,8.19,13.54,78.25,7558,3495
2025-12-19 08:44:25,14.42,24.40,61.17,7551,3437
2025-12-19 08:44:31,8.12,19.78,72.8,7554,3458
2025-12-19 08:44:36,14.8,23.52,62.40,7532,3422
2025-12-19 08:44:42,7.92,16.21,75.85,7551,3394
2025-12-19 08:44:48,19.82,21.72,58.44,7543,3396
2025-12-19 08:44:54,4.65,14.33,81.0,7513,3451
2025-12-19 08:45:00,6.31,14.25,79.42,7546,3473
2025-12-19 08:45:05,3.53,13.3,83.42,7552,3507
2025-12-19 08:45:11,5.82,14.57,79.59,7566,3499
2025-12-19 08:45:17,3.46,12.59,83.94,7556,3507
2025-12-19 08:45:23,8.70,20.55,70.74,7545,3537
2025-12-19 08:45:28,6.7,15.28,78.63,7563,3508
2025-12-19 08:45:34,5.64,14.93,79.41,7552,3504
2025-12-19 08:45:40,3.14,13.30,83.54,7563,3134
2025-12-19 08:45:46,17.49,30.15,52.34,7502,3361
2025-12-19 08:45:52,9.76,25.25,64.98,7479,3037
2025-12-19 08:45:58,7.65,14.93,77.41,7521,2776
