Timestamp,CPU_User_Pct,CPU_System_Pct,CPU_Idle_Pct,Memory_Used_MB,Memory_Free_MB
2025-12-19 09:02:04,11.9,19.93,68.97,7550,3435
2025-12-19 09:02:10,10.42,17.9,72.47,7542,3498
2025-12-19 09:02:15,7.28,18.11,74.60,7530,3455
2025-12-19 09:02:21,28.28,16.24,55.47,7076,3459
2025-12-19 09:02:27,24.0,18.23,57.76,7313,3316
2025-12-19 09:02:33,13.96,14.52,71.50,7287,3434
2025-12-19 09:02:38,31.16,27.5,41.77,7445,3444
2025-12-19 09:02:44,3.65,12.79,83.54,7520,3456
2025-12-19 09:02:50,2.92,11.88,85.19,7386,3434
2025-12-19 09:02:56,2.55,11.31,86.13,7505,3387
2025-12-19 09:03:02,2.91,12.4,85.3,7440,3488
2025-12-19 09:03:08,2.91,11.49,85.58,7463,3459
2025-12-19 09:03:13,27.82,19.5,53.11,7378,3413
2025-12-19 09:03:19,13.94,14.86,71.18,7418,3440
2025-12-19 09:03:25,2.93,12.45,84.61,7560,3265
2025-12-19 09:03:31,3.11,12.47,84.40,7559,3280
2025-12-19 09:03:36,2.39,11.41,86.18,7561,3290
2025-12-19 09:03:42,3.31,14.54,82.13,7451,3530
